arm,spp,n_seeds,relrmse_corrected,relrmse_raw,interseed_std_rel
ours,16,4,1.065654,1.066688,1.065940
ours,64,4,0.530141,0.532214,0.530571
ours,256,4,0.265811,0.269923,0.265703
ours,1024,4,0.132929,0.140972,0.132683
ours,2048,4,0.094125,0.105178,0.094158
ours,4096,4,0.066331,0.081257,0.066445
nee,16,4,0.927605,0.928512,0.928330
nee,64,4,0.462247,0.464065,0.462342
nee,256,4,0.231395,0.235005,0.231634
nee,1024,4,0.115783,0.122839,0.115968
nee,2048,4,0.081817,0.091530,0.081895
nee,4096,4,0.057759,0.070851,0.057919
