arm,spp,seed,time_s
ours_analog,16,1,0.583
ours_analog,16,2,0.568
ours_analog,16,3,0.568
ours_analog,16,4,0.569
ours_analog,16,5,0.568
ours_analog,16,6,0.571
ours_analog,16,7,0.574
ours_analog,16,8,0.574
ours_analog,32,1,1.144
ours_analog,32,2,1.146
ours_analog,32,3,1.153
ours_analog,32,4,1.151
ours_analog,32,5,1.166
ours_analog,32,6,1.160
ours_analog,32,7,1.171
ours_analog,32,8,1.173
ours_analog,64,1,2.362
ours_analog,64,2,2.382
ours_analog,64,3,2.366
ours_analog,64,4,2.363
ours_analog,64,5,2.358
ours_analog,64,6,2.363
ours_analog,64,7,2.383
ours_analog,64,8,2.395
ours_analog,128,1,4.777
ours_analog,128,2,4.830
ours_analog,128,3,4.792
ours_analog,128,4,4.785
ours_analog,128,5,4.807
ours_analog,128,6,4.797
ours_analog,128,7,4.834
ours_analog,128,8,4.900
ours_analog,256,1,9.640
ours_analog,256,2,9.770
ours_analog,256,3,9.675
ours_analog,256,4,9.731
ours_analog,256,5,9.729
ours_analog,256,6,9.845
ours_analog,256,7,9.733
ours_analog,256,8,9.742
ours_analog,512,1,19.511
ours_analog,512,2,19.590
ours_analog,512,3,19.578
ours_analog,512,4,19.572
ours_analog,512,5,19.553
ours_analog,512,6,19.594
ours_analog,512,7,19.609
ours_analog,512,8,19.622
mits_analog,16,1,2.8446
mits_analog,16,2,2.8476
mits_analog,16,3,2.8476
mits_analog,16,4,2.8568
mits_analog,16,5,2.8559
mits_analog,16,6,2.8550
mits_analog,16,7,2.8461
mits_analog,16,8,2.8466
mits_analog,32,1,5.6625
mits_analog,32,2,5.6627
mits_analog,32,3,5.6658
mits_analog,32,4,5.6706
mits_analog,32,5,5.6845
mits_analog,32,6,5.6665
mits_analog,32,7,5.6764
mits_analog,32,8,5.6576
mits_analog,64,1,11.2973
mits_analog,64,2,11.3129
mits_analog,64,3,11.3466
mits_analog,64,4,11.4762
mits_analog,64,5,11.4870
mits_analog,64,6,11.2942
mits_analog,64,7,11.3015
mits_analog,64,8,11.3069
mits_analog,128,1,22.6031
mits_analog,128,2,22.6114
mits_analog,128,3,22.6152
mits_analog,128,4,22.7981
mits_analog,128,5,22.6469
mits_analog,128,6,22.8305
mits_analog,128,7,22.6185
mits_analog,128,8,22.6161
mits_analog,256,1,45.2786
mits_analog,256,2,45.3881
mits_analog,256,3,45.3625
mits_analog,256,4,45.3682
mits_analog,256,5,45.3279
mits_analog,256,6,45.3161
mits_analog,256,7,45.3075
mits_analog,256,8,45.3231
mits_analog,512,1,90.5799
mits_analog,512,2,90.5566
mits_analog,512,3,91.3175
