arm,spp,seed,time_s
ours,256,1,82.488
mits_analog,256,1,157.5239
mits_nee,256,1,290.4399
ours,256,2,31.327
mits_analog,256,2,45.8723
mits_nee,256,2,135.1668
ours,256,3,31.547
mits_analog,256,3,45.8795
mits_nee,256,3,138.1268
ours,256,4,31.601
mits_analog,256,4,45.9202
mits_nee,256,4,138.3091
ours,256,5,32.037
mits_analog,256,5,45.9452
mits_nee,256,5,138.7433
ours,256,6,31.765
mits_analog,256,6,45.9470
mits_nee,256,6,138.6491
ours,256,7,31.924
mits_analog,256,7,45.9250
mits_nee,256,7,138.9349
ours,256,8,31.860
mits_analog,256,8,45.9517
mits_nee,256,8,136.4716
ours,1024,1,126.783
mits_analog,1024,1,183.7552
mits_nee,1024,1,545.1248
ours,1024,2,126.973
mits_analog,1024,2,183.7937
mits_nee,1024,2,553.8783
ours,1024,3,126.155
mits_analog,1024,3,183.3303
mits_nee,1024,3,548.2222
ours,1024,4,125.092
mits_analog,1024,4,183.2480
mits_nee,1024,4,536.3532
ours,1024,5,124.161
mits_analog,1024,5,183.2353
mits_nee,1024,5,544.6256
ours,1024,6,123.846
mits_analog,1024,6,183.0469
mits_nee,1024,6,543.3510
ours,1024,7,123.366
mits_analog,1024,7,183.0144
mits_nee,1024,7,542.3797
ours,1024,8,123.210
mits_analog,1024,8,183.0273
mits_nee,1024,8,532.7014
ours,64,1,6.952
mits_analog,64,1,11.3949
mits_nee,64,1,32.9946
ours,64,2,7.413
mits_analog,64,2,11.4094
mits_nee,64,2,33.5410
ours,64,3,7.542
mits_analog,64,3,11.4224
mits_nee,64,3,33.6869
ours,64,4,7.616
mits_analog,64,4,11.4141
mits_nee,64,4,33.7646
ours,64,5,7.779
mits_analog,64,5,11.4188
mits_nee,64,5,33.8401
ours,64,6,7.616
mits_analog,64,6,11.4279
mits_nee,64,6,33.8969
ours,64,7,7.651
mits_analog,64,7,11.4311
mits_nee,64,7,33.9583
ours,64,8,7.662
mits_analog,64,8,11.4209
mits_nee,64,8,33.9383
