arm,sigma,spp,seed,mean,centre
ours,12.000,1024,0,0.999939,1.000015
ours,12.000,1024,1,1.000000,1.000098
ours,12.000,1024,2,1.000068,1.000088
ours,12.000,1024,3,1.000031,1.000182
ours,12.000,1024,4,0.999954,0.999992
ours,12.000,1024,5,0.999963,0.999702
ours,12.000,1024,6,1.000055,1.000070
ours,12.000,1024,7,0.999942,0.999163
ours,12.000,256,0,0.999942,0.998828
ours,12.000,256,1,0.999945,1.000154
ours,12.000,256,2,1.000018,0.999908
ours,12.000,256,3,0.999879,0.998114
ours,12.000,256,4,0.999951,1.000864
ours,12.000,256,5,0.999995,1.001224
ours,12.000,256,6,0.999835,0.999439
ours,12.000,256,7,0.999860,0.999479
ours,12.000,4096,0,0.999988,0.999895
ours,12.000,4096,1,0.999977,1.000014
ours,12.000,4096,2,1.000045,1.000012
ours,12.000,4096,3,0.999989,0.999866
ours,12.000,4096,4,1.000013,1.000149
ours,12.000,4096,5,0.999965,1.000041
ours,12.000,4096,6,1.000021,1.000293
ours,12.000,4096,7,0.999964,0.999846
ours,12.000,64,0,1.000167,1.000898
ours,12.000,64,1,0.999823,0.999418
ours,12.000,64,2,1.000041,0.998716
ours,12.000,64,3,1.000267,0.998430
ours,12.000,64,4,1.000058,1.001802
ours,12.000,64,5,1.000238,1.000393
ours,12.000,64,6,0.999712,1.001092
ours,12.000,64,7,0.999893,1.000530
ours,6.000,1024,0,0.999984,1.000304
ours,6.000,1024,1,1.000055,1.000568
ours,6.000,1024,2,0.999991,1.000055
ours,6.000,1024,3,1.000049,1.000154
ours,6.000,1024,4,0.999909,0.999808
ours,6.000,1024,5,0.999978,0.999445
ours,6.000,1024,6,1.000047,1.000337
ours,6.000,1024,7,1.000012,1.000318
ours,6.000,256,0,1.000100,0.999439
ours,6.000,256,1,1.000054,1.000353
ours,6.000,256,2,1.000012,0.999249
ours,6.000,256,3,0.999959,0.999896
ours,6.000,256,4,0.999948,0.999513
ours,6.000,256,5,1.000004,1.000232
ours,6.000,256,6,0.999888,0.999803
ours,6.000,256,7,1.000101,1.000045
ours,6.000,4096,0,0.999981,1.000010
ours,6.000,4096,1,0.999985,0.999909
ours,6.000,4096,2,1.000032,0.999757
ours,6.000,4096,3,1.000007,0.999879
ours,6.000,4096,4,1.000003,1.000055
ours,6.000,4096,5,0.999975,0.999872
ours,6.000,4096,6,1.000010,1.000146
ours,6.000,4096,7,0.999987,0.999869
ours,6.000,64,0,1.000172,1.000919
ours,6.000,64,1,0.999937,0.999692
ours,6.000,64,2,1.000161,0.999028
ours,6.000,64,3,1.000046,1.000014
