arm,sigma,spp,seed,mean,centre
nee_ellipsoids,6.000,256,0,1.010663,1.097508
nee_ellipsoids,6.000,256,1,1.010602,1.097122
nee_ellipsoids,6.000,256,2,1.010634,1.097502
nee_ellipsoids,6.000,256,3,1.010616,1.097278
nee_mesh,6.000,256,0,1.010666,1.097443
nee_mesh,6.000,256,1,1.010612,1.097097
nee_mesh,6.000,256,2,1.010643,1.097505
nee_mesh,6.000,256,3,1.010613,1.097150
nee_newton,6.000,256,0,1.010882,1.099713
nee_newton,6.000,256,1,1.010809,1.099148
nee_newton,6.000,256,2,1.010854,1.099681
nee_newton,6.000,256,3,1.010825,1.099429
nee_hideemit,6.000,256,0,0.145741,0.645994
nee_hideemit,6.000,256,1,0.145617,0.646029
nee_hideemit,6.000,256,2,0.145606,0.646127
nee_hideemit,6.000,256,3,0.145571,0.646278
analog_ellipsoids,6.000,256,0,1.000000,1.000000
analog_ellipsoids,6.000,256,1,1.000000,1.000000
analog_ellipsoids,6.000,256,2,1.000000,1.000000
analog_ellipsoids,6.000,256,3,1.000000,1.000000
