asset,subdiv_N,n_verts,n_tris,frame_ms,k,rmse_vs_analytic,signed_mean,gas_bytes_compacted
cloud,0,12,20,,,4.010996e-02,-1.125171e-02,1408
cloud,1,42,80,,,1.006016e-02,-2.689540e-03,3328
cloud,2,162,320,,,2.540952e-03,-6.574282e-04,9600
cloud,3,642,1280,,,8.185158e-03,+9.102280e-04,42496
tornado,0,12,20,,,9.393231e-03,-2.396767e-03,1408
tornado,1,42,80,,,1.947783e-03,-4.898456e-04,3328
tornado,2,162,320,,,4.574454e-04,-1.145211e-04,9600
tornado,3,642,1280,,,4.588060e-03,+7.298414e-04,42496
bunny,0,12,20,,,1.178383e-02,-3.866709e-03,1408
bunny,1,42,80,,,2.483912e-03,-7.823873e-04,3328
bunny,2,162,320,,,5.837244e-04,-1.825731e-04,9600
bunny,3,642,1280,,,4.425558e-03,+1.137746e-03,42496
