kind,label,N,t_med_s,t0,t1,t2,peak_mib
asset,cloud,652,3.646,3.646,3.666,3.606,
asset,tornado,768,5.019,5.001,5.190,5.019,
asset,explosion,1024,5.560,5.491,5.560,5.592,
asset,bunny,25600,53.896,53.896,53.834,54.216,
synthetic,stress_16,16,0.356,0.374,0.332,0.356,1200
synthetic,stress_256,256,1.600,1.592,1.600,1.603,1200
synthetic,stress_512,512,0.812,0.816,0.812,0.808,1200
synthetic,stress_1024,1024,1.779,1.752,1.779,1.779,1200
synthetic,stress_2048,2048,1.390,1.412,1.390,1.337,1200
synthetic,stress_4096,4096,3.467,3.390,3.482,3.467,1200
synthetic,stress_8192,8192,4.063,3.915,4.089,4.063,1200
